Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"X_1001217", 0.4157, 1,    228.873,  -39.5,   0.95362, 0, 0, 0, 0, 0, 0, 0, 0
"S1X_1001217", 0.4157, 1,    228.397,  -39.4,   0.95164, 0, 0, 0, 0, 0, 0, 0, 0
"S2X_1001217", 0.4157, 1,    228.397,  -39.4,   0.95164, 0, 0, 0, 0, 0, 0, 0, 0
"S3X_1001217", 0.4157, 1,    228.397,  -39.4,   0.95164, 0, 0, 0, 0, 0, 0, 0, 0
"S4X_1001217", 0.4157, 1,    228.397,  -39.4,   0.95164, 0, 0, 0, 0, 0, 0, 0, 0
"S5X_1001217", 0.4157, 1,    228.397,  -39.4,   0.95164, 0, 0, 0, 0, 0, 0, 0, 0
"S6X_1001217", 0.4157, 1,    228.397,  -39.4,   0.95164, 0, 0, 0, 0, 0, 0, 0, 0
"S7X_1001217", 0.4157, 1,    228.397,  -39.4,   0.95164, 0, 0, 0, 0, 0, 0, 0, 0
"S8X_1001217", 0.4157, 1,    228.397,  -39.4,   0.95164, 0, 0, 0, 0, 0, 0, 0, 0
"X_1001218", 0.4157, 1,    228.861,  -39.5,   0.95357, 0, 0, 0, 0, 0, 0, 0, 0
"S1X_1001218", 0.4157, 1,    228.226,  -39.4,   0.95092, 0, 0, 0, 0, 0, 0, 0, 0
"S2X_1001218", 0.4157, 1,    228.226,  -39.4,   0.95092, 0, 0, 0, 0, 0, 0, 0, 0
"S3X_1001218", 0.4157, 1,    228.226,  -39.4,   0.95092, 0, 0, 0, 0, 0, 0, 0, 0
"S4X_1001218", 0.4157, 1,    228.226,  -39.4,   0.95092, 0, 0, 0, 0, 0, 0, 0, 0
"S5X_1001218", 0.4157, 1,    228.226,  -39.4,   0.95092, 0, 0, 0, 0, 0, 0, 0, 0
"S6X_1001218", 0.4157, 1,    228.226,  -39.4,   0.95092, 0, 0, 0, 0, 0, 0, 0, 0
"X_1001220", 0.4157, 1,    228.855,  -39.5,   0.95354, 0, 0, 0, 0, 0, 0, 0, 0
"S1X_1001220", 0.4157, 1,    228.093,  -39.4,   0.95037, 0, 0, 0, 0, 0, 0, 0, 0
"S2X_1001220", 0.4157, 1,    228.093,  -39.4,   0.95037, 0, 0, 0, 0, 0, 0, 0, 0
"S3X_1001220", 0.4157, 1,    228.093,  -39.4,   0.95037, 0, 0, 0, 0, 0, 0, 0, 0
"S4X_1001220", 0.4157, 1,    228.093,  -39.4,   0.95037, 0, 0, 0, 0, 0, 0, 0, 0
"S5X_1001220", 0.4157, 1,    228.093,  -39.4,   0.95037, 0, 0, 0, 0, 0, 0, 0, 0
"X_1001213", 0.4157, 2,    229.799, -159.1,   0.95748, 0, 0, 0, 0, 0, 0, 0, 0
"S1X_1001213", 0.4157, 2,    229.426, -159.1,   0.95592, 0, 0, 0, 0, 0, 0, 0, 0
"S2X_1001213", 0.4157, 2,    229.426, -159.1,   0.95592, 0, 0, 0, 0, 0, 0, 0, 0
