SmartMeter_ID,Load_Name,Bus1,Base_Bus,Phases,kV,Base_Min_pu,Fault_Min_pu,Delta_pu,Confirmed_Fault_Outage
SM_312,1000536-DA4,S4X_1000536.1,S4X_1000536,1,0.24,0.95714,0.0011936,-0.9559464,True
SM_313,1000536-DA5,S5X_1000536.1,S5X_1000536,1,0.24,0.95714,0.0011936,-0.9559464,True
SM_314,1000536-DA6,S6X_1000536.1,S6X_1000536,1,0.24,0.95714,0.0011936,-0.9559464,True
SM_315,1000536-DA7,S7X_1000536.1,S7X_1000536,1,0.24,0.95714,0.0011936,-0.9559464,True
SM_316,1000536-DA8,S8X_1000536.1,S8X_1000536,1,0.24,0.95714,0.0011936,-0.9559464,True
SM_317,1000536-DA9,S9X_1000536.1,S9X_1000536,1,0.24,0.95714,0.0011936,-0.9559464,True
SM_318,1000536-DA10,S10X_1000536.1,S10X_1000536,1,0.24,0.95714,0.0011936,-0.9559464,True
SM_319,1000536-DA11,S11X_1000536.1,S11X_1000536,1,0.24,0.95714,0.0011936,-0.9559464,True
SM_410,1000015-DA1,S1X_1000015.1,S1X_1000015,1,0.24,0.95665,0.00077365,-0.95587635,True
SM_411,1000015-DA2,S2X_1000015.1,S2X_1000015,1,0.24,0.95665,0.00077365,-0.95587635,True
SM_412,1000015-DA3,S3X_1000015.1,S3X_1000015,1,0.24,0.95665,0.00077365,-0.95587635,True
SM_413,1000015-DA4,S4X_1000015.1,S4X_1000015,1,0.24,0.95665,0.00077365,-0.95587635,True
SM_414,1000015-DA5,S5X_1000015.1,S5X_1000015,1,0.24,0.95665,0.00077365,-0.95587635,True
SM_421,1000199-DA1,S1X_1000199.1,S1X_1000199,1,0.24,0.95154,0.002353,-0.949187,True
SM_422,1000199-DB1,S1X_1000199.2,S1X_1000199,1,0.24,0.95154,0.002353,-0.949187,True
SM_423,1000199-DC1,S1X_1000199.3,S1X_1000199,1,0.24,0.95154,0.002353,-0.949187,True
SM_433,1002055-DA1,S1X_1002055.1,S1X_1002055,1,0.24,0.9507,0.0024997,-0.9482003,True
SM_434,1002055-DB1,S1X_1002055.2,S1X_1002055,1,0.24,0.9507,0.0024997,-0.9482003,True
SM_435,1002055-DC1,S1X_1002055.3,S1X_1002055,1,0.24,0.9507,0.0024997,-0.9482003,True
SM_436,1000538-DA1,S1X_1000538.1,S1X_1000538,1,0.24,0.95136,0.0025826,-0.9487774,True
SM_437,1000538-DB1,S1X_1000538.2,S1X_1000538,1,0.24,0.95136,0.0025826,-0.9487774,True
SM_438,1000538-DC1,S1X_1000538.3,S1X_1000538,1,0.24,0.95136,0.0025826,-0.9487774,True
SM_439,1000087-DA1,S1X_1000087.1,S1X_1000087,1,0.24,0.95116,0.0026238,-0.9485362,True
SM_440,1000087-DB1,S1X_1000087.2,S1X_1000087,1,0.24,0.95116,0.0026238,-0.9485362,True
SM_441,1000087-DC1,S1X_1000087.3,S1X_1000087,1,0.24,0.95116,0.0026238,-0.9485362,True
SM_447,1000071-DA1,S1X_1000071.1,S1X_1000071,1,0.24,0.95102,0.0026619,-0.9483581,True
SM_448,1000071-DB1,S1X_1000071.2,S1X_1000071,1,0.24,0.95102,0.0026619,-0.9483581,True
SM_449,1000071-DC1,S1X_1000071.3,S1X_1000071,1,0.24,0.95102,0.0026619,-0.9483581,True
SM_476,1001523-DA1,S1X_1001523.1,S1X_1001523,1,0.24,0.95186,0.0028739,-0.9489861,True
SM_477,1001523-DA2,S2X_1001523.1,S2X_1001523,1,0.24,0.95186,0.0028739,-0.9489861,True
SM_478,1001523-DA3,S3X_1001523.1,S3X_1001523,1,0.24,0.95186,0.0028739,-0.9489861,True
SM_479,1001523-DA4,S4X_1001523.1,S4X_1001523,1,0.24,0.95186,0.0028739,-0.9489861,True
SM_480,1001523-DB1,S1X_1001523.2,S1X_1001523,1,0.24,0.95186,0.0028739,-0.9489861,True
SM_481,1001523-DB2,S2X_1001523.2,S2X_1001523,1,0.24,0.95186,0.0028739,-0.9489861,True
SM_482,1001523-DB3,S3X_1001523.2,S3X_1001523,1,0.24,0.95186,0.0028739,-0.9489861,True
SM_483,1001523-DB4,S4X_1001523.2,S4X_1001523,1,0.24,0.95186,0.0028739,-0.9489861,True
SM_484,1001523-DC1,S1X_1001523.3,S1X_1001523,1,0.24,0.95186,0.0028739,-0.9489861,True
SM_485,1001523-DC2,S2X_1001523.3,S2X_1001523,1,0.24,0.95186,0.0028739,-0.9489861,True
SM_486,1001523-DC3,S3X_1001523.3,S3X_1001523,1,0.24,0.95186,0.0028739,-0.9489861,True
SM_487,1001523-DC4,S4X_1001523.3,S4X_1001523,1,0.24,0.95186,0.0028739,-0.9489861,True
SM_560,1001217-DA1,S1X_1001217.1,S1X_1001217,1,0.24,0.95666,0.00015186,-0.95650814,True
SM_561,1001217-DA2,S2X_1001217.1,S2X_1001217,1,0.24,0.95666,0.00015186,-0.95650814,True
SM_562,1001217-DA3,S3X_1001217.1,S3X_1001217,1,0.24,0.95666,0.00015186,-0.95650814,True
SM_563,1001217-DA4,S4X_1001217.1,S4X_1001217,1,0.24,0.95666,0.00015186,-0.95650814,True
