zone,scenario_label,n_dg_buses,n_faults,avg_max_rfi_A,avg_sm_outages_below_0.5pu
18,DG_14pct,28,12,4653.96,403.92
18,DG_16pct,32,12,4697.66,403.92
18,DG_18pct,36,12,4747.68,402.5
18,DG_20pct,40,12,4809.29,402.67
18,DG_22pct,44,12,4846.51,403.17
18,DG_24pct,48,12,4965.85,406.0
18,DG_26pct,52,12,5040.87,413.33
18,DG_28pct,56,12,5139.21,420.67
18,DG_2pct,4,12,3961.37,414.17
18,DG_30pct,60,12,5220.41,448.67
18,DG_32pct,64,12,5313.6,450.17
18,DG_34pct,68,12,5382.07,465.67
18,DG_36pct,72,12,5450.29,512.17
18,DG_38pct,76,12,5501.29,512.17
18,DG_40pct,80,12,5552.64,512.17
18,DG_42pct,84,12,5592.62,512.17
18,DG_44pct,88,12,5623.73,512.17
18,DG_46pct,92,12,5634.2,512.08
18,DG_48pct,96,12,5653.17,515.92
18,DG_4pct,8,12,4168.92,413.42
18,DG_50pct,100,12,5677.24,522.08
18,DG_6pct,12,12,4419.46,412.83
18,DG_8pct,16,12,4503.91,407.83
19,DG_10pct,20,12,4302.26,389.25
19,DG_12pct,24,12,4354.0,389.0
19,DG_14pct,28,12,4379.77,388.75
19,DG_16pct,32,12,4422.77,388.25
19,DG_18pct,36,12,4470.93,388.25
19,DG_20pct,40,12,4532.12,388.25
19,DG_22pct,44,12,4643.07,389.0
19,DG_24pct,48,12,4752.54,391.42
19,DG_26pct,52,12,4812.37,395.92
19,DG_28pct,56,12,4907.64,399.67
19,DG_2pct,4,12,3683.08,389.75
19,DG_30pct,60,12,4992.26,420.67
19,DG_32pct,64,12,5087.86,423.92
19,DG_34pct,68,12,5159.71,427.33
19,DG_36pct,72,12,5262.0,428.92
19,DG_38pct,76,12,5315.9,444.5
19,DG_40pct,80,12,5368.27,446.5
19,DG_42pct,84,12,5410.04,477.5
19,DG_44pct,88,12,5440.76,477.58
19,DG_46pct,92,12,5449.48,478.33
19,DG_48pct,96,12,5466.4,479.33
19,DG_4pct,8,12,3864.25,389.25
19,DG_50pct,100,12,5489.71,481.33
19,DG_6pct,12,12,4079.21,389.25
19,DG_8pct,16,12,4154.53,389.25
20,DG_10pct,20,12,4809.9,402.75
20,DG_12pct,24,12,4843.09,402.75
20,DG_14pct,28,12,4950.08,402.75
20,DG_16pct,32,12,5025.07,402.5
20,DG_18pct,36,12,5104.27,404.75
20,DG_20pct,40,12,5143.93,415.75
20,DG_22pct,44,12,5191.19,438.0
20,DG_24pct,48,12,5288.05,440.0
20,DG_26pct,52,12,5343.92,441.83
20,DG_28pct,56,12,5398.68,442.75
20,DG_2pct,4,12,4092.48,405.0
20,DG_30pct,60,12,5502.57,449.17
20,DG_32pct,64,12,5613.14,451.25
20,DG_34pct,68,12,5700.64,451.25
20,DG_36pct,72,12,5802.45,502.0
20,DG_38pct,76,12,5856.69,517.5
20,DG_40pct,80,12,5918.5,517.5
20,DG_42pct,84,12,5973.94,517.75
20,DG_44pct,88,12,6016.47,517.75
20,DG_46pct,92,12,6052.7,518.17
20,DG_48pct,96,12,6096.02,527.0
20,DG_4pct,8,12,4389.83,402.75
20,DG_50pct,100,12,6143.05,527.92
20,DG_6pct,12,12,4608.87,403.75
20,DG_8pct,16,12,4711.77,402.75
